Kd,SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
31.87,6,0.756,0.248941799,0.074,1.93,1.28,0,0.28,1.4544,1.503382063
33.5,6,0.708,0.278389831,0.134,1.93,1.28,0,0.28,1.4544,1.525044807
23.36,6,0.851,0.167097532,0.008,1.34,0.92,0,0.2,1.0854,1.368472838
39.9,6,0.851,0.167097532,0.008,2.81,1.71,0,0.28,1.5846,1.600972896
44.75,6,0.756,0.248941799,0.074,2.81,1.71,0,0.28,1.5846,1.65079304
41.66666667,0.379,0.9625,0.166666667,0.0313,2.11,2.5,0.68,1.4,1.688,1.619788758
31.25,0.379,0.9625,0.166666667,0.0313,2.1,2.65,0.65,1.42,1.863,1.494850022
166.6666667,0.379,0.9625,0.166666667,0.0313,3.6,3.05,1.65,3.5,3.158,2.22184875
83.33333333,0.379,0.9625,0.166666667,0.0313,1.85,1.91,0.68,1.72,2.073,1.920818754
71.42857143,0.379,0.9625,0.166666667,0.0313,1.31,1.3,0.32,1.52,2.375,1.853871964
13.8,0.428,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.139879086
8,0.257,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,0.903089987
14.8,0.415,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.170261715
2.2,0.946,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,0.342422681
18.8,1.03,0.384,0.125,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.274157849
76287,0.54,0.637168142,0.152777778,0.222222222,1.61,1.56,0.99,0.91,1.8643,4.882450537
1.3,0.0164,0.6,0.133333333,32,1.61,1.56,0.99,0.91,1.8643,0.113943352
3.5,0.487,0.625,0.066666667,0.533333333,1.61,1.56,0.99,0.91,1.8643,0.544068044
915,0.951,0.591240876,0.111111111,0.49382716,1.61,1.56,0.99,0.91,1.8643,2.961421094
24.83797312,0.095226003,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.1,1.395116153
21.40872692,0.092591164,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.330590843
40.24716273,0.080826884,0.558139535,0.125,1,3.5,3.6,1.35,3.29,3.1,1.60473527
33.37811305,0.067600787,0.923076923,0.083333333,0,3.5,3.6,1.35,3.29,3.1,1.523461781
27.14961872,0.104748603,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.1,1.433763735
25.73150042,0.10185028,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.410465111
43.7432809,0.088174782,0.558139535,0.125,2,3.5,3.6,1.35,3.29,3.1,1.640911354
39.79936032,0.073746313,0.923076923,0.083333333,0.1,3.5,3.6,1.35,3.29,3.1,1.599876092
27.98588781,0.114271204,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.446939089
29.06279135,0.111109396,0.857142857,0.166666667,0.4,3.5,3.6,1.35,3.29,3.1,1.463337324
3.622,0.227272727,0.857142857,0.166666667,4.17E-07,2,1.45,0.45,1,1.3613,0.558948446
2.638,0.227272727,0.857142857,0.166666667,4.17E-07,0.74,1.17,0.45,1.22,1.4788,0.421274791
512.978,0.227272727,0.857142857,0.166666667,4.17E-07,1.87,1.17,0.18,0.97,1.9948,2.71009874
1350,4.347826087,0.384,0.125,4.17E-07,1.73,1.55,0.47,0.45,1.8088,3.130333768
1050,0.058754407,0.384,0.125,4.17E-07,1.73,1.55,0.47,0.45,1.8088,3.021189299
4.252,0.401,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.628593256
2.878,0.142,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.45909079
3.213,0.317,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.506910726
0.314,0.268,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.503070352
0.5,0.29,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.301029996
0.19,0.332,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.721246399
4800,2.088,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.681241237
7701.711491,0.66,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.886587246
9933.333333,5.791,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.997095009
2553.191489,0.248,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.407083388
8134.615385,0.164,0.625,0.066666667,0.533333333,1.34,0.92,0,0.2,1.0854,3.910337024
3130.434783,0.15,0.857142857,0.166666667,2.78E-07,1.34,0.92,0,0.2,1.0854,3.49560466
407.5471698,0.094,0.5,0.111111111,0.888888889,1.34,0.92,0,0.2,1.0854,2.610177882
4048.192771,2.088,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.607261185
10729.41176,0.66,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,4.030575912
2074.074074,0.248,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.316824263
8520,0.164,0.625,0.066666667,0.533333333,1.5,1.06,0,0.25,1.3565,3.930439595
3816,0.15,0.857142857,0.166666667,2.78E-07,1.5,1.06,0,0.25,1.3565,3.581608366
589.2857143,0.094,0.5,0.111111111,0.888888889,1.5,1.06,0,0.25,1.3565,2.770325913
12480,0.66,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.096214585
14563.63636,5.791,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.163269826
9066.666667,0.248,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,3.957447649
15333.33333,0.164,0.625,0.066666667,0.533333333,2.38,1.55,0,0.24,1.5846,4.185636577
4857.142857,0.15,0.857142857,0.166666667,2.78E-07,2.38,1.55,0,0.24,1.5846,3.686380877
746.4114833,0.094,0.5,0.111111111,0.888888889,2.38,1.55,0,0.24,1.5846,2.872978312
74000,2.088,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.86923172
74400,0.66,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.871572936
126000,5.791,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,5.100370545
21360,0.248,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.329601248
63488.37209,0.164,0.625,0.066666667,0.533333333,2.81,1.71,0,0.28,1.5846,4.802694191
5800,0.15,0.857142857,0.166666667,2.78E-07,2.81,1.71,0,0.28,1.5846,3.763427994
92.59259259,0.094,0.5,0.111111111,0.888888889,2.81,1.71,0,0.28,1.5846,1.966576245
5629.411765,2.088,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.750463016
11259.25926,0.66,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,4.051509819
9933.333333,5.791,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.997095009
2482.758621,0.248,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.394934499
5062.240664,0.164,0.625,0.066666667,0.533333333,1.34,0.92,0,0.2,1.0854,3.704342788
460.3174603,0.094,0.5,0.111111111,0.888888889,1.34,0.92,0,0.2,1.0854,2.663057448
7095.652174,2.088,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.850992318
